full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"   69P/Taylor",.4144496714647936,2.272859330912462,22.04594102713173,104.8787242391347,343.4499991023852,5.490296866431574,20110717.5559262,7.64752130195952,JFc,2717,3,296,,5.362286719850272E-11,-5.077135770652523E-9,,,5.0,20.0,,,,,,,,
"   70P/Kojima",.4538077525760331,2.006435279739371,6.600100458032775,119.2689140945893,1.937921138531265,5.340557612241134,20141020.6176083,7.04089127921542,JFc,16274,0,1210,,1.746444401319027E-10,-7.976698314461111E-11,,,10.9,15.,14.9,5.,0.03,3,,,,
"   71P/Clark",.4991932970160894,1.565056946659196,9.482579410751505,59.64111084253843,208.8459256061888,4.685086820723552,20111215.6061957,5.5245666777822,JFc,4093,1,1013,,2.316651614714221E-8,7.624873363566705E-10,-4.879573199698039E-9,,11.7,12.,14.9,5.,0.03,1.36,,,,
"   72P/Denning-Fujikawa",.8191545266363583,.7841612055380167,9.169283869658974,36.10919645775216,337.8580424566273,7.888007259096272,20140711.6372194,9.02931423648274,JFc,13080,1,44,,,,,,15.5,25.0,,,,,,,,
"   73P/Schwassmann-Wachmann 3",.6855295029796643,.9721704471959881,11.23693832095124,69.66227844576729,199.3899701698703,5.210733554339782,20170316.8432244,5.43565599727929,JFc,2235,3,747,,-9.53916255187102E-10,-2.055855526883767E-9,,,12.,15.0,15.,10.0,,,,,,
"   73P/Schwassmann-Wachmann 3-B",0.6932855208263886126474,0.9391110367239190459542,11.396951947033860719216,69.89247679701043,198.7994525904428,5.184571413835244,20060607.9244273,5.35774699700879,JFc,3806,2,1484,,1.49431967818014E-8,1.961498904699281E-9,,,15.2,8.,,,,,,,,
"   73P/Schwassmann-Wachmann 3-C",.6922258013072282,.9428566311694347,11.37915705677313,69.84321690348189,198.8705914205202,5.184080813061352,20111016.8996863,5.36201936497173,JFc,5853,0,3223,,6.544631766354118E-9,4.832373496932443E-10,,-12.17581160807467,13.2,9.,,,,,,,,
"   73P/Schwassmann-Wachmann 3-E",0.6938774627627,0.937436994548815,11.4056211759106,69.91710448172594,198.7732444491985,5.187149604066312,20010128.4534014,5.35893362989882,JFc,4021,0,129,,1.723191563169948E-8,5.810952472839584E-9,,,10.4,15.0,,,,,,,,
"   73P/Schwassmann-Wachmann 3-G",0.693412971192622,0.939183930115084,11.3895622899332,69.90839960829794,198.7746010901946,5.187519693117151,20060608.0962630,5.36171242350909,JFc,72,5,551,,,,,,16.8,8.0,18.0,5.0,,,,,,
"   73P/Schwassmann-Wachmann 3-H",0.693565806671118,0.939169508544489,11.3910638961291,69.9078914114573,198.7738044969675,5.190495711527861,20060608.2799878,5.36560060311544,JFc,68,5,112,,,,,,20.2,8.0,21.7,5.0,,,,,,
"   73P/Schwassmann-Wachmann 3-J",0.691538816676964,0.939020204694954,11.380265457103,69.82886017812947,198.869444132752,5.149397109788113,20060608.1501033,5.31153230587721,JFc,28,7,42,,,,,,,,,,,,,,,
"   73P/Schwassmann-Wachmann 3-K",0.693543485158215,0.939076843864193,11.3910646244732,69.89734340284451,198.7896438621016,5.189537157694959,20060608.2224135,5.36422038658229,JFc,47,6,42,,,,,,20.9,10.0,,,,,,,,
"   73P/Schwassmann-Wachmann 3-L",0.694735674965028,0.939089394354414,11.3987127952321,69.93678268425323,198.7475944367357,5.213541734401494,20060608.3286997,5.39578363248632,JFc,58,6,39,,,,,,20.9,10.0,21.7,5.0,,,,,,
"   73P/Schwassmann-Wachmann 3-M",0.693940938277251,0.939096814670938,11.3943614399649,69.90530158146959,198.7775561198109,5.197606404537399,20060608.2571557,5.37484432085886,JFc,44,7,73,,,,,,21.0,15.0,21.8,5.0,,,,,,
"   73P/Schwassmann-Wachmann 3-N",0.692288993783599,0.939254358392007,11.3809412138733,69.89730281276252,198.7643511012408,5.165527982292075,20060608.2704287,5.33296195128557,JFc,41,6,133,,,,,,20.4,10.0,21.2,5.0,,,,,,
